eventName,year,finishPlace,adjustedTime,lane,screenFile,seed,boatLabel,adjustedTimeString,boatId,handicap,penalty,adjustedTimeDelta,rawTimeDelta,adjustedTimePercent,rawTimePercent,laneLong,penaltyCode,boatStatus,rawTimeString,handicapString,penaltyString,adjustedTimeDeltaString,rawTimeDeltaString,avg_age,adjustedTimePercentString,rawTimePercentString,photoId,composite,longName,displayNum,altTitle,sp1Delta,sp2Delta,sp3Delta,dtUpdated,sp1Label,sp2Label,sp3Label,sp4Label,distanceRowed,distanceDelta,distancePercent,detailsUrl,orderOfFinishPlace,sp4RawTime,sp1RawTime,sp1RawTimeString,sp1Location,sp1Distance,sp2RawTime,sp2RawTimeString,sp2Location,sp2Distance,sp3RawTime,sp3RawTimeString,sp3Location,sp3Distance,sp4RawTimeString,sp4Location,sp4Distance,orgCount,sp1Split,sp1Place,sp2Split,sp2Place,sp3Split,sp3Place,sp4Split,sp1SplitPlace,sp2SplitPlace,sp3SplitPlace,sp4SplitPlace,sp1SplitTimeString,sp2SplitTimeString,sp3SplitTimeString,sp4SplitTimeString,sp1MarginString,sp2MarginString,sp3MarginString,avgAge,orgName,marginComment,comment,divisionTitle
Men's Club Eights,2012,31,1043321,29,1484_1211514444063.png,B,T. Jiang,17:23.321,3630,0,0,15910,15910,0.1839,0.1839,29,,,17:23.321,0.00,,0:15.910,0:15.910,19,18.39,18.39,0,,Vermont,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,31st,1043321,239233,3:59.233,1,0,562042,9:22.042,2,0,861133,14:21.133,3,0,17:23.321,4,0,1,239233,0,322809,0,299091,0,182188,0,0,0,0,3:59.233,5:22.809,4:59.091,3:02.188,,,,19,Vermont,,,
Men's Club Eights,2012,32,1044677,35,359_1211573374070.png,A,W. Hiller,17:24.677,6550,0,0,1360,1360,0.1854,0.1854,35,,,17:24.677,0.00,,0:01.360,0:01.360,23,18.54,18.54,0,,New Rochelle,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,32nd,1044677,234502,3:54.502,1,0,562213,9:22.213,2,0,860042,14:20.042,3,0,17:24.677,4,0,1,234502,0,327711,0,297829,0,184635,0,0,0,0,3:54.502,5:27.711,4:57.829,3:04.635,,,,23,New Rochelle,,,
Men's Club Eights,2012,33,1064002,24,1832_1214873650909.png,A,V. Zhu,17:44.002,3084,0,0,19320,19320,0.2073,0.2073,24,,,17:44.002,0.00,,0:19.320,0:19.320,26,20.73,20.73,0,,Yale SOM,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,33rd,1064002,244020,4:04.020,1,0,573742,9:33.742,2,0,873788,14:33.788,3,0,17:44.002,4,0,1,244020,0,329722,0,300046,0,190214,0,0,0,0,4:04.020,5:29.722,5:00.046,3:10.214,,,,26,Yale SOM,,,
Men's Club Eights,2012,34,1064008,36,,A,T. Scida,17:44.008,6920,0,0,10,10,0.2074,0.2074,36,,,17:44.008,0.00,,0:00.010,0:00.010,0,20.74,20.74,0,,Loyola MD,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,34th,1064008,239810,3:59.810,1,0,577824,9:37.824,2,0,877806,14:37.806,3,0,17:44.008,4,0,1,239810,0,338014,0,299982,0,186202,0,0,0,0,3:59.810,5:38.014,4:59.982,3:06.202,,,,0,Loyola MD,,,
Men's Club Eights,2012,35,1065164,31,1042_1320782979878.png,A,C. Kee,17:45.164,3642,0,0,1150,1150,0.2087,0.2087,31,,,17:45.164,0.00,,0:01.150,0:01.150,20,20.87,20.87,0,,William and Mary,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,35th,1065164,246247,4:06.247,1,0,578275,9:38.275,2,0,882554,14:42.554,3,0,17:45.164,4,0,1,246247,0,332028,0,304279,0,182610,0,0,0,0,4:06.247,5:32.028,5:04.279,3:02.610,,,,20,William and Mary,,,
Men's Club Eights,2012,36,1072948,28,60_1409897268675.png,A,M. Dostal,17:52.948,3844,0,0,7790,7790,0.2175,0.2175,28,,,17:52.948,0.00,,0:07.790,0:07.790,33,21.75,21.75,0,,Onota Lake,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,36th,1072948,246495,4:06.495,1,0,585406,9:45.406,2,0,888343,14:48.343,3,0,17:52.948,4,0,1,246495,0,338911,0,302937,0,184605,0,0,0,0,4:06.495,5:38.911,5:02.937,3:04.605,,,,33,Onota Lake,,,
Men's Club Eights,2012,37,1112000,30,2527_1215128512086.png,A,S. Lysenko,18:32.000,4862,0,0,39050,39050,0.2618,0.2618,30,,,18:32.000,0.00,,0:39.050,0:39.050,43,26.18,26.18,0,,Greater Lawrence Rowing,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,37th,1112000,259701,4:19.701,1,0,607228,10:07.228,2,0,922617,15:22.617,3,0,18:32.000,4,0,1,259701,0,347527,0,315389,0,189383,0,0,0,0,4:19.701,5:47.527,5:15.389,3:09.383,,,,43,Greater Lawrence Rowing,,,
Men's Club Eights,2012,38,1127633,23,712_1211510203511.png,A,B. Sykes,18:47.633,59,0,0,15630,15630,0.2796,0.2796,23,,,18:47.633,0.00,,0:15.630,0:15.630,20,27.96,27.96,0,,Miami University,0,,0,0,0,1377962766000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,38th,1127633,254343,4:14.343,1,0,607018,10:07.018,2,0,925445,15:25.445,3,0,18:47.633,4,0,1,254343,0,352675,0,318427,0,202188,0,0,0,0,4:14.343,5:52.675,5:18.427,3:22.188,,,,20,Miami University,,,
Men's Club Eights,2013,1,866767,1,153_1267070876970.png,A,A. Rajesh,14:26.767,4721,0,0,0,0,0.0,0.0,1,,,14:26.767,0.00,,,,18,,,0,,Brown,0,,0,0,0,1383243777000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,1st,866767,193745,3:13.745,1,0,472275,7:52.275,2,0,717846,11:57.846,3,0,14:26.767,4,0,1,193745,1,278530,1,245571,1,148921,0,0,0,0,3:13.745,4:38.530,4:05.571,2:28.921,,,,18,Brown,,,
Men's Club Eights,2013,2,879415,3,78_1211367876374.png,A,G. Dierks,14:39.415,7381,0,0,12650,12650,0.0146,0.0146,3,,,14:39.415,0.00,,0:12.650,0:12.650,20,1.46,1.46,0,,BU Men,0,,0,0,0,1383243777000,Riverside,Weld,Cambridge BC,Finish,0.0m,,,,2nd,879415,198877,3:18.877,1,0,479919,7:59.919,2,0,728104,12:08.104,3,0,14:39.415,4,0,1,198877,2,281042,2,248185,2,151311,0,0,0,0,3:18.877,4:41.042,4:08.185,2:31.311,,,,20,BU Men,,,
